business_id,categories,cat,name
1lAV0CZdveG9tYlZZfWjCA,"Restaurants, Breakfast & Brunch, Donuts, Coffee & Tea, Food",Coffee N Tea,Krispy Kreme
1nhPU1FP-yrI_9UufQQcQg,"Desserts, Bakeries, Food, Ice Cream & Frozen Yogurt, Coffee & Tea, Cafes, Restaurants",Cafes,Nestle Toll House Cafe by Chip
1ofuWPYnHDp01c11BQog9w,"Pizza, Italian, Restaurants, Chicken Wings",Italian,Pizza Hut
1p76_EWPbPcTprNrEVw3-g,"Restaurants, American (Traditional), Diners, Breakfast & Brunch",American,Denny's
1PnhX9SNMX71LPFD7-IqXg,"Diners, Restaurants",Diner,Country Boys
1pytOeO_PhT4EVpk2MXQBA,"Mexican, Tex-Mex, Fast Food, Restaurants",Mexican,Taco Bell
1r9lpt5r9l4uJxLLyt6QBw,"Fast Food, Coffee & Tea, Food, Restaurants, Burgers",Burgers,McDonald's
1r9xmPVZqsiTNQr_FAcs8w,"Ice Cream & Frozen Yogurt, Desserts, Restaurants, American (Traditional), Food",American,Mary Coyle Ol' Fashion Ice Cream
1rebduwtmrHQhl32djRS7A,"Greek, Restaurants, Sandwiches, Pizza, Italian",Sandwiches,McGurkee's Italian Kitchen
1sdwgcMd1BNlzw-wz3TXKQ,"Restaurants, American (Traditional), Arts & Entertainment, Country Dance Halls, Nightlife, Breakfast & Brunch, Music Venues, Bars, American (New)",American,Dierks Bentley's Whiskey Row
1ViZu60qPK0KcPJuJb6b1A,"Tea Rooms, American (Traditional), Venues & Event Spaces, Food, Restaurants, Event Planning & Services",American,The Spicery In Our 1895 Home
1WBkAuQg81kokZIPMpn9Zg,"Burgers, Restaurants, Nightlife, Bars, American (Traditional)",American,Charr An American Burger Bar
1x8_aJQ-iqvymhRK3SNbLg,"Mexican, Sports Bars, American (Traditional), Tacos, Restaurants, Nightlife, Bars",Sports Bar,Sharky's Tacos & Tequila
1YBpnyR_VlJNjrUzNVXYDQ,"Salad, Restaurants, Sandwiches",Sandwiches,Mr Submarine
1Yk-GnszDT9g1E1jnD1sIw,"Mexican, Restaurants",Mexican,Mr Leno
1zgcF2M_rXYdK03BTewM4g,"Restaurants, Sandwiches, Bagels, Delis, Breakfast & Brunch, Coffee & Tea, Food",Sandwiches,NY Bagels
1zsM7weLS8fNHomDAqCh4Q,"Gastropubs, Food, Nightlife, Pubs, American (Traditional), Bars, Breweries, Event Planning & Services, Restaurants, Caterers",American,Blasted Barley Beer Company
2-_HV0XUYK64OylB5J4i6A,"Fast Food, Restaurants, Pizza",Italian,MOD Pizza
2_jWcWOew5DA6wR7_eH36Q,"Restaurants, Pizza, Food",Italian,Papa Murphy's
22so15K1aqikL9FHt37CSQ,"Nightlife, Vegan, Restaurants, Italian, Pizza",Vegan,DP Dough
22ugGAn6S2cXALsfPgxghg,"Restaurants, Fast Food, Burgers",Burgers,Burger King
24IRm_qaeKN5gFVdPb_s8g,"Tex-Mex, Mexican, Fast Food, Restaurants",Mexican,Taco Bell
24MgaUT4TWO3_kZQlBu8sw,"Fast Food, Restaurants, Mexican",Mexican,Chipotle Mexican Grill
24Td_CQH1bonWKff1rt2vg,"Breakfast & Brunch, Restaurants",Breakfast N Brunch,Matt's Big Breakfast
25c15dEPrBrWr4tR1r6sTg,"Korean, Japanese, Restaurants",Japanese,Takamatsu
28iyKGp1CJ_XFDLFSHVQUg,"Burgers, Fast Food, Restaurants",Burgers,Carl's Jr.
2ADoawEfSAZpnQSwVEo5Ig,"Ice Cream & Frozen Yogurt, Burgers, American (Traditional), Food, Fast Food, Restaurants",American,Sonic Drive-In
2aVQu4wnptrFM_kxDhhPIg,"Gluten-Free, Restaurants, Food, Food Delivery Services",Deli,Freshly
2bXyG9i01EjS9ttdnXToDw,"Restaurants, Steakhouses",Steakhouses,T-Bone Steakhouse
2CNaSduqZIsCRuNvdO_TAQ,"Fast Food, Mexican, Restaurants",Mexican,Chipotle Mexican Grill
2CWGr0FqPmCGoJA8mkXjng,"Food Stands, Halal, Middle Eastern, Restaurants",Middle Eastern,The Halal Guys
2DmTw0k3bcXuHdAyxO_bkw,"Gluten-Free, Restaurants, American (New), Coffee & Tea, Breakfast & Brunch, Health Markets, Specialty Food, Diners, Food, Cafes, Beer, Wine & Spirits",Cafes,Tryst Cafe
2DUdvdQE8FOxCHHp59HHzw,"Restaurants, Cafes, Desserts, Sandwiches, Breakfast & Brunch, American (Traditional), Food, Bakeries",Cafes,Bertha's CafÃƒÂ©
2F2xrnxCJ_WdXfWGxJcn_g,"Restaurants, Pizza, Fast Food",Italian,Little Caesars Pizza
2FfZUyA82YhQCjWNiqDCzQ,"Burgers, Diners, Restaurants",Burgers,Lenny's Burger Shop
2g4ZTD3ePNSbDAvh6qAOKQ,"Seafood, Mexican, Burgers, Asian Fusion, Restaurants, American (New)",Mexican,Los Reyes De La Torta
2Gh1Etnpn_BDy72hOXmCtg,"Soup, Restaurants, Ethnic Food, Specialty Food, Vietnamese, Food",Vietnamese,Pho Viet Vietnamese Restaurant
2gI7dlktBQXPZiuOW-HWvw,"Chicken Wings, Chinese, Restaurants, Sushi Bars",Chinese,Li's Bowl
2GmGT-7QjowR1ihup3FbVA,"Grocery, Mediterranean, Food, Restaurants, Greek, Middle Eastern",Mediterranean,Haji-Baba
2IHmggMLM-hDq4dFmwgzDw,"Pizza, Sandwiches, Restaurants, Italian",Sandwiches,Streets of New York
2JUDgnmoLDxD97gqmand9Q,"Fast Food, Mexican, Tex-Mex, Food, Restaurants",Mexican,Chipotle Mexican Grill
2JV0xGXsszojof2BuEt_hw,"American (Traditional), Restaurants, Sports Bars, Bars, Nightlife",Sports Bar,Gallagher's
2jx_SaBzvIdIwul4JoY9IA,"Chinese, Restaurants",Chinese,China Restaurant
2lnHyGbn1Nvbf7iRNDr6wg,"Food, Restaurants, Greek",Greek,My Big Fat Greek Express
2nbibYLTR96Nr2nk-1spdw,"Restaurants, Fast Food, Breakfast & Brunch, Chicken Wings, Chicken Shop",Breakfast N Brunch,Church's Chicken
2nFwsGBpikkDh74biLfeaA,"Restaurants, Breakfast & Brunch, Coffee & Tea, Food, Coffee Roasteries",Coffee N Tea,Press Coffee
2NiBvT5zL272IRcxru_x9A,"Italian, Restaurants, Pizza, Wine Bars, Mediterranean, Bars, Nightlife",Mediterranean,La Bocca Wine Bar & Urban Kitchen
2OKh-3ToognFAccCFAFJVg,"Pubs, Irish, Sports Bars, Nightlife, American (Traditional), Bars, Restaurants",Sports Bar,Brennan's Pub & Grub
2oQuTgkhY7QlVdfMa8cHgA,"Restaurants, Bakeries, Custom Cakes, Cupcakes, Desserts, Local Flavor, Cafes, Food",Cafes,The Cupcake Cafe
2q2gGuigGrCFmx3juLAVww,"Restaurants, Greek, Mediterranean, Vegetarian",Mediterranean,Mika's Greek
2Qh4LZbqbQIsonZ68S7_Qw,"Delis, Restaurants, Fast Food, Sandwiches",Sandwiches,Jersey Mike's
2rLuOMi6Q6zzqUU8ltreSA,"Cafes, American (Traditional), Breakfast & Brunch, Restaurants",Cafes,First Watch
2RQuRcchOgTvFVrSARMHMQ,"Nightlife, Bars, Tacos, Restaurants, Dive Bars, Cocktail Bars, Mexican, Sports Bars",Sports Bar,House of Tacos
2RsLaIEnNUIzjQyCvPCNWA,"American (Traditional), Cocktail Bars, American (New), Nightlife, Dinner Theater, Restaurants, Asian Fusion, Bars",American,Cuff
2S3WsczyCAUp9KCcVmJfRA,"Nightlife, Sports Bars, Bars, Restaurants, Burgers, American (Traditional)",Sports Bar,Bambino's Sports Grill
2SHu52w_w4Z4ACq-vx3a-Q,"American (Traditional), Bars, Tex-Mex, Restaurants, Nightlife",American,Chili's
2skQeu3C36VCiB653MIfrw,"Food, Nightlife, Bars, American (Traditional), Barbeque, Smokehouse, Restaurants",American,Bootleggers Modern American Smokehouse
2THWm-2RT0MtkH-BKN6-FQ,"Fast Food, Restaurants, Burgers, Ice Cream & Frozen Yogurt, Food",Burgers,Sonic Drive-In
2v-8QQfMLX2PCz-0S6gISQ,"Restaurants, Pizza, Fast Food",Italian,Papa John's Pizza
2VdCHCPFzow7zcBSaPMbKA,"Salad, Gluten-Free, Sandwiches, American (New), Restaurants",Sandwiches,Perfect Pear Bistro
2vu5RPLxvAqY0PK5olT7QQ,"Fast Food, Burgers, Restaurants, American (Traditional)",American,Five Guys
2W7ATgSmo2hnTM3e8081VA,"American (New), Restaurants",American,The Lobby Grill
2xMKHQP1TVGB-_62gDOzDg,"Mexican, Fast Food, Restaurants",Mexican,El Nopalito
2z7xERz1Nonyw8Kjr4SffA,"Seafood, Mexican, Restaurants",Mexican,Santa Madre Taco Shop
2zo1Gg_ERRjn5LzX9hzR5w,"Sandwiches, Chicken Wings, Restaurants, Pizza, Salad",Sandwiches,Clockwork Pizza
3-aEgS7X2jrbxA7sA1nARw,"Breakfast & Brunch, Lounges, Nightlife, Latin American, Mexican, Bars, Restaurants",Mexican,La Flor De Calabaza
